year,county,wage
1908,7,1.75
1909,7,1.75
1910,7,1.75
1911,7,1.75
1912,7,2
1913,7,2
1914,7,2
1803,8,0.17
1804,8,0.27
1805,8,0.25
1806,8,0.27
1807,8,0.27
1808,8,0.31
1809,8,0.33
1810,8,0.31
1811,8,0.37
1812,8,0.37
1813,8,0.5
1814,8,0.5
1815,8,0.5
1816,8,0.56
1817,8,0.56
1818,8,0.56
1819,8,0.62
1820,8,0.56
1821,8,0.5
1822,8,0.5
1823,8,0.5
1824,8,0.5
1825,8,0.5
1826,8,0.5
1827,8,0.56
1828,8,0.56
1829,8,0.56
1830,8,0.56
1831,8,0.56
1832,8,0.69
1833,8,0.6
1834,8,0.62
1835,8,0.62
1836,8,0.62
1837,8,0.62
1838,8,0.62
1839,8,0.62
1840,8,0.62
1841,8,0.62
1842,8,0.62
1843,8,0.62
1844,8,0.62
1845,8,0.62
1846,8,0.62
1847,8,0.62
1848,8,0.62
1849,8,0.62
1850,8,0.62
1851,8,0.62
1852,8,0.62
1853,8,0.75
1854,8,0.83
1855,8,1
1856,8,1.12
1857,8,1.25
1858,8,1
1859,8,0.75
1860,8,0.77
1861,8,0.86
1862,8,1
1863,8,1.17
1864,8,1
1865,8,0.86
1866,8,0.86
1867,8,0.86
1868,8,0.87
1869,8,0.96
1870,8,0.95
1871,8,1
1872,8,1.22
1873,8,1.25
1874,8,1.5
1875,8,1.58
1876,8,1.58
1877,8,1.5
1878,8,1.5
1879,8,1.17
1880,8,1.17
1881,8,1.17
1882,8,1.25
1883,8,1.25
1884,8,1.33
1885,8,1.36
1886,8,1.29
1887,8,1.25
1888,8,1.33
1889,8,1.5
1890,8,1.5
1891,8,1.5
1892,8,1.5
1893,8,1.5
1894,8,1.5
1895,8,1.5
1896,8,1.5
1897,8,1.58
1898,8,1.61
1899,8,1.83
1900,8,1.92
1901,8,2
1902,8,2.08
1903,8,2.11
1904,8,2.17
1905,8,2.17
1906,8,2.33
1907,8,2.5
1908,8,2.5
1909,8,2.5
1910,8,2.83
1911,8,2.83
1912,8,2.83
1913,8,2.83
1914,8,2.83
1803,10,0.24
1804,10,0.24
1805,10,0.24
1806,10,0.24
1807,10,0.24
1808,10,0.31
1809,10,0.24
1810,10,0.37
1811,10,0.5
1812,10,0.5
1813,10,0.75
1814,10,0.75
1815,10,0.75
1816,10,0.75
1817,10,0.75
1818,10,0.75
1819,10,0.75
1820,10,0.62
1821,10,0.813
1822,10,0.703
1823,10,0.707
1824,10,0.75
1825,10,0.75
1826,10,0.5
1827,10,0.5
1828,10,0.5
1829,10,0.5
1830,10,0.5
1831,10,0.62
1832,10,0.5
1833,10,0.5
1834,10,0.5
1835,10,0.5
1836,10,0.5
1837,10,0.5
1838,10,0.5
1839,10,0.56
1840,10,0.56
1841,10,0.56
1842,10,0.6
1843,10,0.58
1844,10,0.56
1845,10,0.56
1846,10,0.56
1847,10,0.56
1848,10,0.56
1849,10,0.59
1850,10,0.62
1851,10,0.62
1852,10,0.62
1853,10,0.62
1854,10,0.75
1855,10,0.83
1856,10,0.87
1857,10,1
1858,10,1
1859,10,1
1860,10,1.08
1861,10,1.067
1862,10,1.067
1863,10,1.03
1864,10,1
1865,10,1
1866,10,1
1867,10,0.83
1868,10,0.85
1869,10,0.85
1870,10,0.85
1871,10,0.85
1872,10,1
1873,10,1.3
1874,10,1.3
1875,10,1.3
1876,10,1.45
1877,10,1.45
1878,10,1.25
1879,10,1.15
1880,10,1
1881,10,1.25
1882,10,1.3
1883,10,1.25
1884,10,1.34
1885,10,1.34
1886,10,1.25
1887,10,1.25
1888,10,1.25
1889,10,1.25
1890,10,1.3
1891,10,1.5
1892,10,1.56
1893,10,1.63
1894,10,1.68
1895,10,1.68
1896,10,1.68
1897,10,1.7
1898,10,1.74
1899,10,1.75
1900,10,1.75
1901,10,2
1902,10,2
1903,10,2
1904,10,2.1
1905,10,2.2
1906,10,2.25
1907,10,2.5
1908,10,2.5
1909,10,2.5
1910,10,2.5
1911,10,2.5
1912,10,2.6
1913,10,2.6
1914,10,2.6
1803,11,0.25
1804,11,0.28
1805,11,0.25
1806,11,0.25
1807,11,0.25
1808,11,0.37
1809,11,0.37
1810,11,0.37
1811,11,0.5
1812,11,0.62
1813,11,0.62
1814,11,0.56
1815,11,0.5
1816,11,0.56
1817,11,0.56
1818,11,0.56
1819,11,0.5
1820,11,0.46
1821,11,0.62
1822,11,0.56
1823,11,0.56
1824,11,0.56
1825,11,0.56
1826,11,0.5
1827,11,0.5
1828,11,0.5
1829,11,0.5
1830,11,0.5
1831,11,0.5
1832,11,0.5
1833,11,0.56
1834,11,0.56
1835,11,0.56
1836,11,0.56
1837,11,0.56
1838,11,0.56
1839,11,0.62
1840,11,0.58
1841,11,0.58
1842,11,0.5
1843,11,0.58
1844,11,0.58
1845,11,0.58
1846,11,0.58
1847,11,0.58
1848,11,0.58
1849,11,0.62
1850,11,0.62
1851,11,0.62
1852,11,0.62
1853,11,0.62
1854,11,0.62
1855,11,0.83
1856,11,0.75
1857,11,0.87
1858,11,0.67
1859,11,0.75
1860,11,0.75
1861,11,0.83
1862,11,0.75
1863,11,0.8
1864,11,0.83
1865,11,0.83
1866,11,0.9
1867,11,0.9
1868,11,0.9
1869,11,1
1870,11,1
1871,11,1.12
1872,11,1.25
1873,11,1.33
1874,11,1.5
1875,11,1.5
1876,11,1.5
1877,11,1.5
1878,11,1.37
1879,11,1.25
1880,11,1.32
1881,11,1.39
1882,11,1.5
1883,11,1.56
1884,11,1.6
1885,11,1.6
1886,11,1.3
1887,11,1.3
1888,11,1.3
1889,11,1.3
1890,11,1.5
1891,11,1.75
1892,11,1.75
1893,11,1.75
1894,11,1.75
1895,11,1.75
1896,11,1.92
1897,11,1.96
1898,11,2
1899,11,2
1900,11,2
1901,11,2.25
1902,11,2.34
1903,11,2.44
1904,11,2.5
1905,11,2.63
1906,11,2.75
1907,11,3
1908,11,3
1909,11,3
1910,11,3
1911,11,3
1912,11,3
1913,11,3
1914,11,3
1803,12,0.25
1804,12,0.25
1805,12,0.25
1806,12,0.27
1807,12,0.27
1808,12,0.33
1809,12,0.37
1810,12,0.44
1811,12,0.5
1812,12,0.75
1813,12,0.75
1814,12,0.75
1815,12,0.62
1816,12,0.62
1817,12,0.6
1818,12,0.56
1819,12,0.56
1820,12,0.5
1821,12,0.5
1822,12,0.5
1823,12,0.56
1824,12,0.67
1825,12,0.75
1826,12,0.56
1827,12,0.62
1828,12,0.62
1829,12,0.62
1830,12,0.67
1831,12,0.67
1832,12,0.75
1833,12,0.75
1834,12,0.75
1835,12,0.75
1836,12,0.75
1837,12,0.75
1838,12,0.75
1839,12,0.75
1840,12,0.75
1841,12,0.75
1842,12,0.75
1843,12,0.75
1844,12,0.67
1845,12,0.67
1846,12,0.69
1847,12,0.69
1848,12,0.75
1849,12,0.75
1850,12,0.75
1851,12,0.75
1852,12,0.75
1853,12,0.75
1854,12,0.75
1855,12,0.87
1856,12,1
1857,12,1
1858,12,1
1859,12,1
1860,12,1
1861,12,1
1862,12,1
1863,12,1
1864,12,1
1865,12,1
1866,12,1
1867,12,1
1868,12,0.84
1869,12,0.92
1870,12,0.9
1871,12,0.9
1872,12,1
1873,12,1.17
1874,12,1.17
1875,12,1.17
1876,12,1.17
1877,12,1.1
1878,12,1
1879,12,1
1880,12,1
1881,12,1.15
1882,12,1.25
1883,12,1.25
1884,12,1.25
1885,12,1.25
1886,12,1.25
1887,12,1
1888,12,1
1889,12,1
1890,12,1
1891,12,1.25
1892,12,1.25
1893,12,1.25
1894,12,1.25
1895,12,1.25
1896,12,1.25
1897,12,1.5
1898,12,1.5
1899,12,1.5
1900,12,1.67
1901,12,1.8
1902,12,1.8
1903,12,1.8
1904,12,1.94
1905,12,2
1906,12,2.12
1907,12,2.23
1908,12,2.39
1909,12,2.42
1910,12,2.48
1911,12,2.57
1912,12,2.6
1913,12,2.63
1914,12,2.69
1803,13,0.25
1804,13,0.31
1805,13,0.33
1806,13,0.37
1807,13,0.37
1808,13,0.42
1809,13,0.44
1810,13,0.5
1811,13,0.69
1812,13,1
1813,13,1
1814,13,1
1815,13,0.83
1816,13,0.75
1817,13,0.62
1818,13,0.69
1819,13,0.65
1820,13,0.67
1821,13,0.58
1822,13,0.58
1823,13,0.56
1824,13,0.58
1825,13,0.65
1826,13,0.65
1827,13,0.75
1828,13,0.77
1829,13,0.87
1830,13,0.87
1831,13,0.75
1832,13,0.75
1833,13,0.83
1834,13,0.83
1835,13,0.87
1836,13,0.87
1837,13,0.87
1838,13,0.87
1839,13,0.83
1840,13,0.83
1841,13,0.83
1842,13,0.83
1843,13,0.83
1844,13,0.83
1845,13,0.87
1846,13,1
1847,13,1
1848,13,1
1849,13,0.94
1850,13,1
1851,13,1
1852,13,1
1853,13,1
1854,13,1
1855,13,1.12
1856,13,1.33
1857,13,1.33
1858,13,1.29
1859,13,1.25
1860,13,1.15
1861,13,1.1
1862,13,1
1863,13,1
1864,13,1
1865,13,1.05
1866,13,1.05
1867,13,1.05
1868,13,1
1869,13,1
1870,13,0.9
1871,13,0.8
1872,13,1
1873,13,1
1874,13,1
1875,13,1.25
1876,13,1.25
1877,13,1.25
1878,13,1
1879,13,1
1880,13,1
1881,13,1
1882,13,1.25
1883,13,1.25
1884,13,1.25
1885,13,1.25
1886,13,1.25
1887,13,1.25
1888,13,1.25
1889,13,1.27
1890,13,1.3
1891,13,1.35
1892,13,1.4
1893,13,1.5
1894,13,1.5
1895,13,1.5
1896,13,1.5
1897,13,1.55
1898,13,1.6
1899,13,1.75
1900,13,1.8
1901,13,1.8
1902,13,2
1903,13,2.1
1904,13,2.14
1905,13,2
1906,13,2.05
1907,13,2.32
1908,13,2.32
1909,13,2.35
1910,13,2.39
1911,13,2.43
1912,13,2.7
1913,13,2.77
1914,13,2.77
1803,14,0.25
1804,14,0.27
1805,14,0.29
1806,14,0.31
1807,14,0.31
1808,14,0.37
1809,14,0.37
1810,14,0.5
1811,14,0.56
1812,14,0.62
1813,14,0.67
1814,14,0.67
1815,14,0.62
1816,14,0.5
1817,14,0.5
1818,14,0.5
1819,14,0.5
1820,14,0.56
1821,14,0.5
1822,14,0.5
1823,14,0.5
1824,14,0.5
1825,14,0.5
1826,14,0.56
1827,14,0.5
1828,14,0.5
1829,14,0.5
1830,14,0.5
1831,14,0.5
1832,14,0.5
1833,14,0.5
1834,14,0.54
1835,14,0.54
1836,14,0.54
1837,14,0.54
1838,14,0.54
1839,14,0.54
1840,14,0.5
1841,14,0.56
1842,14,0.56
1843,14,0.56
1844,14,0.56
1845,14,0.56
1846,14,0.54
1847,14,0.56
1848,14,0.56
1849,14,0.56
1850,14,0.56
1851,14,0.56
1852,14,0.62
1853,14,0.62
1854,14,0.75
1855,14,1.25
1856,14,1.5
1857,14,1.5
1858,14,1.25
1859,14,1
1860,14,1
1861,14,1
1862,14,0.92
1863,14,0.9
1864,14,0.9
1865,14,0.9
1866,14,0.85
1867,14,0.87
1868,14,0.84
1869,14,0.8
1870,14,0.8
1871,14,0.8
1872,14,0.9
1873,14,1
1874,14,1.1
1875,14,1.15
1876,14,1.15
1877,14,1.15
1878,14,1
1879,14,1
1880,14,1
1881,14,1
1882,14,1.1
1883,14,1.1
1884,14,1.1
1885,14,1.1
1886,14,1.1
1887,14,1
1888,14,1.1
1889,14,1.1
1890,14,1.1
1891,14,1.2
1892,14,1.3
1893,14,1.25
1894,14,1.25
1895,14,1.3
1896,14,1.34
1897,14,1.34
1898,14,1.47
1899,14,1.6
1900,14,1.67
1901,14,1.67
1902,14,1.73
1903,14,1.78
1904,14,1.78
1905,14,1.85
1906,14,1.99
1907,14,2.28
1908,14,2.26
1909,14,2.3
1910,14,2.3
1911,14,2.39
1912,14,2.46
1913,14,2.5
1914,14,2.54
1803,15,0.25
1804,15,0.27
1805,15,0.29
1806,15,0.31
1807,15,0.31
1808,15,0.37
1809,15,0.42
1810,15,0.44
1811,15,0.5
1812,15,0.67
1813,15,0.75
1814,15,0.5
1815,15,0.67
1816,15,0.67
1817,15,0.56
1818,15,0.5
1819,15,0.5
1820,15,0.5
1821,15,0.5
1822,15,0.5
1823,15,0.5
1824,15,0.5
1825,15,0.62
1826,15,0.56
1827,15,0.62
1828,15,0.62
1829,15,0.62
1830,15,0.62
1831,15,0.56
1832,15,0.56
1833,15,0.62
1834,15,0.67
1835,15,0.67
1836,15,0.67
1837,15,0.62
1838,15,0.62
1839,15,0.67
1840,15,0.67
1841,15,0.67
1842,15,0.67
1843,15,0.67
1844,15,0.56
1845,15,0.56
1846,15,0.67
1847,15,0.58
1848,15,0.62
1849,15,0.67
1850,15,0.67
1851,15,0.67
1852,15,0.67
1853,15,0.67
1854,15,0.75
1855,15,0.92
1856,15,1
1857,15,1.25
1858,15,1
1859,15,0.91
1860,15,0.95
1861,15,0.95
1862,15,1
1863,15,1.02
1864,15,1
1865,15,1
1866,15,1
1867,15,1
1868,15,1
1869,15,0.9
1870,15,0.9
1871,15,1
1872,15,1.2
1873,15,1.5
1874,15,1.5
1875,15,1.5
1876,15,1.6
1877,15,1.6
1878,15,1.25
1879,15,1.1
1880,15,1.25
1881,15,1.25
1882,15,1.25
1883,15,1.25
1884,15,1.25
1885,15,1.25
1886,15,1.21
1887,15,1.17
1888,15,1.24
1889,15,1.33
1890,15,1.3
1891,15,1.36
1892,15,1.47
1893,15,1.5
1894,15,1.5
1895,15,1.5
1896,15,1.63
1897,15,1.63
1898,15,1.78
1899,15,1.78
1900,15,1.82
1901,15,1.85
